"id","abbreviation","fullform","type","publication_id"
"1237","Nik (aka DV 3/II) "," M.V. Nikol'skij, Drevnosti Vostocnyja, III/2 (St. Petersburg 1908), Dokumenty . . .iz sobraniia N.P. LiLhacheva, (= Nik 1); collations by M. Powell, Acta Sum 3, 125ff.; G. Selz, FAOS 15/1; Drevnosti Vostocnyja, V (Moskau 1915), Dokumenty . . . iz sobraniia N.P. Likhacheva, (= Nik 2)   ",NULL,NULL
"1238","Ninegalla Hymn "," lit. comp.; H. Behrens, FAOS 21, 1998   ",NULL,NULL
"1239","Ningishzida Hymn A "," lit. comp.; Å.W. Sjöberg, StOr 46, 301ff.   ",NULL,NULL
"1240","Ningishzida Hymn B "," lit. comp.; Å.W. Sjöberg, StOr 46, 305ff.   ",NULL,NULL
"1241","Ningishzida Hymn C "," lit. comp.; Å.W. Sjöberg, StOr 129ff.   ",NULL,NULL
"1242","Ninkasi Hymn "," lit. comp., M. Civil, Studies Oppenheim 67ff.   ",NULL,NULL
"1243","Ninmesharra "," lit. comp.; W.W. Hallo and J. van Dijk, YNER 3; rev. ms. H. Behrens; Zgoll, AOAT 246   ",NULL,NULL
"1244","Ninshatapada to Rimsin "," letter; W.W. Hallo, Etudes Garelli 377ff.; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1245","Nintinugga's Dog "," lit. comp.; Ali Letters 144ff. B 18  ",NULL,NULL
"1246","Ninurta and the Turtle "," lit. comp.; B. Alster, JCS 24, 120ff.   ",NULL,NULL
"1247","Ninurta's Fields "," lit. comp.; ms. A.J. Ferrara   ",NULL,NULL
"1248","Ninurta's Journey to Eridu "," lit. comp.; Reisman, JCS 24, 3ff.; lines quoted according to copy in STVC 34   ",NULL,NULL
"1249","Nippur Lament "," lit. comp.; S.J. Tinney, The Nippur Lament (= 0PBF 16)   ",NULL,NULL
"1250","Nippur Neighborhoods "," E. Stone, Nippur Neighborhoods (= SAOC 44)   ",NULL,NULL
"1251","NippurTrial "," lit. comp.; Th. Jacobsen, AnBibl 12, 130ff.; ms. S.J. Lieberman   ",NULL,NULL
"1252","Nisaba "," Studi Assiriologici Messinesi (Messina 2002ff.)   ",NULL,NULL
"1253","Nisaba and Enki "," lit. comp.; W.W. Hallo, Rencontre 17, 116ff., rev. ms. P. Michalowski   ",NULL,NULL
"1254","Nisaba Hymn "," lit. comp.; D. Reisman, AOAT 25, 357ff.; rev. ms. Å.W. Sjöberg   ",NULL,NULL
"1255","no(s). "," number(s)   ",NULL,NULL
"1256","Nomades "," J.-R. Kupper, Les nomades en Mésopotamie au temps des rois Mari (Paris 1957)   ",NULL,NULL
"1257","NP (aka NBPf.) "," H. Petschow, Neubabylonisches Pfandrecht (Berlin 1956)   ",NULL,NULL
"1258","NPN "," I. Gelb/P. Purves/A. MacRae, Nuzi Personal Names (= OIP 57, 1943)   ",NULL,NULL
"1259","NRV "," San Nicolo/A. Ungnad, Neubabylonische Rechts- und Verwaltungsurkunden (Leipzig 1935/ 1937; Gl. = Glossar)   ",NULL,NULL
"1260","NRVN "," M. Çig/H. Kizilyay, Neusumerische Rechts- und Verwaltungsurkunden aus Nippur, I (Ankara 1965)   ",NULL,NULL
"1261","NS "," new series; Nova Series   ",NULL,NULL
"1262","NTSS (aka NTS[shin]) "," R. Jestin, Nouveaux textes sumériens de Shuruppak (Paris 1957)   ",NULL,NULL
"1263","Nungal Hymn "," lit. comp.; Å.W. Sjöberg, AfO 24, 19f.; Å.W. Sjöberg, JCS 29, 3ff.   ",NULL,NULL
"1264","Nuradad 1 "," (StOr 49, 50; RIME 4  Nuradad 5)  ",NULL,NULL
"1265","Nuradad 2 "," (StOr 49, 50)   ",NULL,NULL
"1266","Nuradad 3 "," (StOr 49, 51)   ",NULL,NULL
"1267","Nuradad 4 "," (StOr 49, 53)   ",NULL,NULL
"1268","Nuradad 5 "," (RIME 4, 144f.  Nuradad 7)  ",NULL,NULL
"1269","Nuradad 6 "," (RIME 4, 146  Nuradad 6)  ",NULL,NULL
"1270","Nuradad 7 "," (StOr 49, 56; RIME 4  Nuradad 1)  ",NULL,NULL
"1271","Nuradad lff. "," royal inscr.   ",NULL,NULL
"1272","Nuradad seals a-m "," (StOr 49, 54-56; RIME 4  Nuradad 2001-2013)  ",NULL,NULL
"1273","NYPL (aka New York Library; TCNY; PIOL 19) "," H. Sauren, Les Tablettes Cuneiformes de l'Epoque d'Ur de la New York Public Library   ",NULL,NULL
"1274","O "," Museum sigla  Antiquités (orientales), Musée du Cinquantenaire  ",NULL,NULL
"1275","OAAS "," Old Assyrian archives studies (Netherlands)   ",NULL,NULL
"1276","OAC (aka OrAntColl.) "," Orientis Antiqui Collectio (Rome)   ",NULL,NULL
"1277","OACC "," M. Larsen, The Old Assyrian City-State and its Colonies (Mesopotamia 4, 1976)   ",NULL,NULL
"1278","OACTA "," J. G. Dercksen, The Old Assyrian Copper Trade in Anatolia (Istanbul-Leiden 1996)   ",NULL,NULL
"1279","OAIC "," I. J. GeIb, Old Akkadian Inscriptions in Chicago Natural History Museum (Chicago 1955)   ",NULL,NULL
"1280","OAkk "," Old Akkadian period   ",NULL,NULL
"1281","OB "," Old Babylonian period   ",NULL,NULL
"1282","OB Contracts "," E. Stone, Old Babylonian Contracts from Nippur   ",NULL,NULL
"1283","OB Lu "," lex. series; Old Babylonian recensions of Lu; MSL 12, 151ff.   ",NULL,NULL
"1284","OBGT "," lex. series; Old Babylonian Grammatical Texts; MSL 4, 47ff   ",NULL,NULL
"1285","OBLA "," R. M. Whiting, Old Babylonian Letters from Tell Asmar; AS 22 (1987)   ",NULL,NULL
"1286","OBO "," Orbis Biblicus et Orientalis (Freiburg Sweitzerland 1973 ff.); Series archaeologica (1980 ff.)   ",NULL,NULL
"1287","OB Temple Records (aka OBTR; Lau; OTR) "," R. Lau, Old Babylonian Temple Records (= Columbia University Oriental Studies 3, New York 1906, reprint 1966)   ",NULL,NULL
"1288","OBTI (aka Ishchali) "," S. Greengus, Old Babylonian Tablets from Ishchali and Vicinity (Istanbul 1979)   ",NULL,NULL
"1289","OBTR "," St. Dalley, C. Walker, J. Hawkins, Old Babylonian Texts from Tell al Rimah (Hertford 1976)   ",NULL,NULL
"1290","obv. "," obverse   ",NULL,NULL
"1291","occ(s). "," occasion(s), occasionally   ",NULL,NULL
"1292","OECT "," Oxford Editions of Cuneiform Texts (Oxford 1923 ff.)   ",NULL,NULL
"1293","OeLZ (aka ÖLZ) "," Österreichische Lehrerzeitung   ",NULL,NULL
"1294","OIC "," Oriental Institute Communications (Chicago 1922 ff.)   ",NULL,NULL
"1295","OIP "," Oriental Institute Publications (Chicago 1924 ff.)   ",NULL,NULL
"1296","OJA (aka OxfJA) "," Oxford Journal of Archaeology (Oxford)   ",NULL,NULL
"1297","OLA "," Orientalia Lovaniensia analecta (Leuven 1975 ff.)   ",NULL,NULL
"1298","Old Man "," lit. comp.; B. Alster, Mesopotamia 3, 90ff.   ",NULL,NULL
"1299","OLP "," Orientalia Lovaniensia periodica (Leuven 1970 ff.)   ",NULL,NULL
"1300","OMRO "," Oudheidkundige Mededelingen uit het Rijksmuseum van Oudheden te Leiden   ",NULL,NULL
"1301","OLZ "," Orientalistische Literaturzeitung (Berlin 1898 ff.)   ",NULL,NULL
"1302","Onomastikon "," V.V. Struve, Onomastika rannedinasticheskogo Lagasha   ",NULL,NULL
"1303","Ontario (aka Sigrist Ontario) "," M. Sigrist, Neo-Sumerian texts from the Royal Ontario Museum   ",NULL,NULL
"1304","OPBF "," Occasional Publications of the Babylonian Fund, vols. 1-8 (Philadelphia 19 . . ff.), succeeded by OPKF, vol. 9ff.   ",NULL,NULL
"1305","Opfermaterie "," F. Blome, Die Opfermaterie in Babylonien und Israel, I. Teil, SSAOI 4 (Rome 1934)   ",NULL,NULL
"1306","OPKF (aka OPSNKF) "," Occasional Publications of the Samuel Noah Kramer Fund, vol. 9ff. (Philadelphia 1995ff.), succeeds OPBF vols. 1-8   ",NULL,NULL
"1307","Oppenheim Glass "," A. L. Oppenheim, Glass and Glassmaking in Ancient Mesopotamia, 1970   ",NULL,NULL
"1308","OrAnt "," Oriens Antiquus (Rome 1962 ff.)   ",NULL,NULL
"1309","Orient "," Orient. Report of the Society for Near Eastern Studies in Japan (Tokyo 1960 ff.)   ",NULL,NULL
"1310","Orlinsky Vol. "," Eretz-Israel 16   ",NULL,NULL
"1311","OrNS (aka Or.) "," Orientalia, NS = Nova Series (1932 ff.)   ",NULL,NULL
"1312","OrSP (aka Or.) "," Orientalia, SP = Series Prior (Rome 1920-1930)   ",NULL,NULL
"1313","OrSu (aka OrSuec) "," Orientalia Suecana (Uppsala)   ",NULL,NULL
"1314","OSP "," A. Westenholz, Old Sumerian and Old Akkadian Texts in Philadelphia Chiefly from Nippur, OSP 1 (= BiMes. 1, 1975), OSP 2 (= Carsten Niebuhr Institute Publications 3, Copenhagen 1987)   ",NULL,NULL
"1315","OT "," H. Holma, Omen Texts from Babylonian Tablets in the British Museum (Leipzig 1923)   ",NULL,NULL
"1316","p, pp "," page(s)   ",NULL,NULL
"1317","PabilsagTale "," lit. comp.; CBS 11346 (STVC 89) (+) CBS 13961 (SEM 101) + CBS 15207 (PBS 13,44) + HS 1472 (TMH 4 52) (+) Ni.4174 (ISET 2, 88); ms. M. Civil   ",NULL,NULL
"1318","PakArch "," Pakistan Archaeology (Karachi 1964 ff.)   ",NULL,NULL
"1319","Paléorient "," Paléorient (Paris 1973 ff.)   ",NULL,NULL
"1320","Pantheon "," A. Deimel, Pantheon Babylonicum   ",NULL,NULL
"1321","PAPS "," Proceedings of the American Philosophical Society (Philadelphia 1838 ff.)   ",NULL,NULL
"1322","part. "," partial(ly)   ",NULL,NULL
"1323","PAS (aka PAbS) "," P. Mander, Il Pantheon di Abu- Salablkh, Contributo allo studio del pantheon sumerico arcaico, IUO Series Minor (Naples 1986)   ",NULL,NULL
"1324","PBF "," Prähistorische Bronzefunde (Stuttgart)   ",NULL,NULL
"1325","PBS "," University of Pennsylvania, Publications of the Babylonian Section (Philadelphia 1911 ff.)   ",NULL,NULL
"1326","PDK "," E. Weidner, Politische Dokumente aus Kleinasien (= BoSt. 8-9, 1923)   ",NULL,NULL
"1327","PdP "," La Parola del Passato, Naples, journal   ",NULL,NULL
"1328","PDT "," M. Çig/H. Kizilyay/A. Salonen, Die Puzris-Dagan-Texte der Istanbuler Archaologischen Museen Part 1 = texts 1-725 (= AASF B 92, Helsinki 1956)   ",NULL,NULL
"1329","Peek (aka Pinches/Peek) "," T. Pinches, Inscribed Babylonian Tablets in the Possession of Sir Henry Peek (London 1888)   ",NULL,NULL
"1330","PEQ "," Palestine Exploration Quarterly (London 1937 ff.)   ",NULL,NULL
"1331","pers. "," person(al)   ",NULL,NULL
"1332","Persica "," Persica. Uitgave van het Genootschap Nederland-Iran . . . (s'Gravenhage/Leuven 1963/64 ff.)   ",NULL,NULL
"1333","Personennamen "," M. Krebernik, Die Personennamen der Ebla-Texte. Eine Zwischenbilanz, BBVO 7 (Berlin 1988)   ",NULL,NULL
"1334","PHAV "," Oriental Studies Published in Commemoration of the Fortieth Anniversary (1883-1923) of Paul Haupt . . . (Baltimore-Leipzig 1926)   ",NULL,NULL
"1335","Phoenix "," Phoenix. Bulletin uitgegeven door het Vooraziatisch-Egyptisch Genootschap &#147;Ex Oriente Lux&#148; (Leiden 1955 ff.)   ",NULL,NULL
"1336","phon. "," Phonetic   ",NULL,NULL
"1337","PHPB (aka PHPKB) "," J.A. Brinkman, A Political History of Post-Kassite Babylonia 1158-722 B.C. (= AnOr. 43, 1968)   ",NULL,NULL
"1338","PIB (aka PBI; IB) "," Pontifico Istituto Biblico; Pontifical Biblical Institute, Rome   ",NULL,NULL
"1339","PIHANS "," Publications de l'Institut historique-archéologique néerlandais de Stamboul (1956ff.)   ",NULL,NULL
"1340","PJB "," Palästina-Jahrbuch des Deutschen Evangelischen Instituts . . . zu Jerusalem (Berlin 1905-1941)   ",NULL,NULL
"1341","PKG "," Propyläen Kunstgeschichte (Berlin 1923-1926; 1967-1982)   ",NULL,NULL
"1342","PKG 14 "," W. Orthmann, Propyläen Kunstgeschichte, Bd. 14  Der Alte Orient (Berlin 1975)  ",NULL,NULL
"1343","PKT (aka PKTA) "," E. Ebeling, Parfümrezepte und kultische Texte aus Assur. Sonderdruck aus Orientalia 17-19 (Rome 1950)   ",NULL,NULL
"1344","pl(s). "," plate(s)   ",NULL,NULL
"1345","PN(s) "," personal name(s)   ",NULL,NULL
"1346","PNAE "," The prosopography of the neo-Assyrian empire, Helsinki 1998 - …   ",NULL,NULL
"1347","POA "," Próximo Oriente Antiguo, Instituto de Estudios Islámicos y del Oriente Próximo, Zaragoza 2003 - …   ",NULL,NULL
"1348","POAT "," W. C. Gwaltney, The Pennsylvania Old Assyrian Texts, 1983   ",NULL,NULL
"1349","poss. "," possessive   ",NULL,NULL
"1350","Post-OB "," Post-Old Babylonian   ",NULL,NULL
"1351","PPAC "," Periodic publications on ancient civilisations (Changchun   Institute for the History of Ancient Civilizations, 1989ff.)  ",NULL,NULL
"1352","PPAC 1 (aka Adab; SIA) "," Yang Zhi, Sargonic Inscriptions from Adab (Chanchun, China 1989)   ",NULL,NULL
"1353","PPS "," Publications of the Palestine Section, Museum of the University of Pennsylvania (Philadelphia 1930 ff.)   ",NULL,NULL
"1354","Practical Voc. Assur "," lex. series; B. Landsberger and O.R. Gurney, AfO 18, 328ff.   ",NULL,NULL
"1355","PRAK "," H. de Genouillac, Premieres recherches archeologiques a Kich   ",NULL,NULL
"1356","Presarg. "," Presargonic period   ",NULL,NULL
"1357","presc. "," prescription   ",NULL,NULL
"1358","Priests and Officials (aka City Life, Maekawa City) "," Priests and Officials in the Ancient Near East, Papers of the Second Colloquium on the Ancient Near East - The City and its Life held at the Middle Eastern Culture Center in Japan (Mitaka, Tokyo), K. Watanabe, ed. Sonderdruck (Heidelberg 1999)   ",NULL,NULL
"1359","Princeton 1 "," M. Sigrist, Tablettes du Princeton Theological Seminary  Epoque d'Ur III  ",NULL,NULL
"1360","Prosopografia "," F. Pomponio, La Prosopografia dei Testi Presargonici di Fara   ",NULL,NULL
"1361","Proto-Aa "," lex. series, MSL 14, 85ff., see Aa   ",NULL,NULL
"1362","Proto-Aa Geneva "," lex. text, MSL 14, 21f.   ",NULL,NULL
"1363","Proto-Diri "," lex. series, see Diri; ms. M. Civil   ",NULL,NULL
"1364","Proto-Ea "," lex. series; MSL 14, 17ff.; see Ea   ",NULL,NULL
"1365","Proto-Izi "," lex. series; MSL 13, 7ff.; see Izi   ",NULL,NULL
"1366","Proto-Kagal "," lex. series; MSL 13, 63ff.; see Kagal   ",NULL,NULL
"1367","Proto-Lu "," lex. series; MSL 12, 25ff.; see Lu   ",NULL,NULL
"1368","Proto-Sag "," lex. text; MSL SS 1, 7ff.   ",NULL,NULL
"1369","Proverbs "," B. Alster, Proverbs of Anclent Sumer (CDL Press 1997)   ",NULL,NULL
"1370","PRT "," E. G. Klauber, Politisch-religi&ouml;se Texte der Sargonidenzeit, Leipzig 1913.   ",NULL,NULL
"1371","PRU "," Palais royal d'Ugarit. Mission de Ras Shamra (Paris 1956 ff.)   ",NULL,NULL
"1372","Psalms "," S. Langdon, Sumerian and Babylonian Psalms   ",NULL,NULL
"1373","PSBA "," Proceedings of the Society of Biblical Archaeology (London 1878 ff.)   ",NULL,NULL
"1374","PSD "," The Sumerian Dictionary of the University Museum of the University of Pennsylvania (Philadelphia 1984 ff.)   ",NULL,NULL
"1375","PTS "," Tablet siglum of the collection of the Princeton Theological Seminary   ",NULL,NULL
"1376","publ. "," published   ",NULL,NULL
"1377","Pupil "," Genouillac, H. de. Babyl. 8. 1924   ",NULL,NULL
"1378","Puzurmama 1 "," royal inscr.; Steible NBW 2, 336f.   ",NULL,NULL
"1379","Puzurshulgi to Ibbisin "," letter; Ali Letters 42ff. A 3; Michalowski Correspondence 253ff.  ",NULL,NULL
"1380","Puzurshulgi to Shulgi "," letter; C. Wilcke, WO 5, 3ff.; Michalowski Correspondence 200ff.   ",NULL,NULL
"1381","PZ "," Prähistorische Zeitschrift (Berlin 1909 ff.)   ",NULL,NULL
"1382","q.v. "," quod vide   ",NULL,NULL
"1383","QNAR "," Quaderni napoletani di Assiriologia Ricerche (Rome 2005 ff.)   ",NULL,NULL
"1384","QqTabCun "," Émile Dantinne, Quelques tablettes sumériennes d'Ur (1910)   ",NULL,NULL
"1385","QuadSem (aka Quad. Sem.) "," Quaderni di Semitistica (Florenz 1971 ff.); M = Materiali, 1 (1992)   ",NULL,NULL
"1386","R "," H. Rawlinson et al., The Cuneiform Inscriptions of Western Asia, I-V (London 1861-1909); 1R, vol. 1 (1861); 3R, vol. 3 (1870)   ",NULL,NULL
"1387","RA "," Revue d'Assyriologie et d'Archéologie Orientale (Paris 1886 ff.)   ",NULL,NULL
"1388","RABG (aka God-Lists) "," R. L. Litke, A Reconstruction of the Assyro-Babylonian God-Lists . . . (diss., Yale Univ. 1958)   ",NULL,NULL
"1389","Racc (aka RAcc., RitAcc.) "," F. Thureau-Dangin, Rituals accadiens (Paris 1921)   ",NULL,NULL
"1390","Raggi "," Raggi. Zeitschrift für Kunstgeschichte und Archaologie . . . (Zurich/Basel 1958 ff.)   ",NULL,NULL
"1391","RAI (aka CRRA, CRRAI, Rencontre) "," Proceedings of the Rencontre assyriologique internationale; Compte rendu de la Rencontre Assyriologique lnternationale   ",NULL,NULL
"1392","RAI 01 (aka Rencontre 01) "," Comptes rendus de la premiere Rencontre Assyriologique (Paris 1950); cf. RA 59, 189   ",NULL,NULL
"1393","RAI 02 (aka Rencontre 02) "," Compte rendu de la seconde Rencontre Assyriologique Internationale (Paris 1951)   ",NULL,NULL
"1394","RAI 03 (aka Rencontre 03) "," Compte rendu de la troisieme Rencontre Assvrlolo~loue Internationale (Leiden 1952)   ",NULL,NULL
"1395","RAI 04 (aka Rencontre 04) "," Le Probleme des Habiru (= Cahiers de la Societe Asiatique 12) (Paris 1955)   ",NULL,NULL
"1396","RAI 07 (aka Rencontre 07) "," Gilgames et sa legende (Paris 1958)   ",NULL,NULL
"1397","RAI 09 (aka Rencontre 09) "," Aspects du contact sumero-akkadien (= Genava NS 8 241ff.) (Geneva 1960)   ",NULL,NULL
"1398","RAI 11 (aka Rencontre 11) "," Compte rendu de l'onzieme Rencontre Assyriologique Internationale (Leiden 1962)   ",NULL,NULL
"1399","RAI 12 (aka Rencontre 12) "," Iraq 25/2 (London 1963)   ",NULL,NULL
"1400","RAI 13 (aka Rencontre 13) "," RA 58/4 (Paris 1964)   ",NULL,NULL
"1401","RAI 14 (aka Rencontre 14) "," La Divination en Mesopotamie ancienne (Strasbourg 1965)   ",NULL,NULL
"1402","RAI 17 (aka Rencontre 17) "," Actes de la XVIIe Rencontre Assyriologique Internationale (Brussels 1969)   ",NULL,NULL
"1403","RAI 18 (aka Rencontre 18) "," Gesellschaftsklassen im alten Zweistromland (= ABAW NF 75) (Munich 1970)   ",NULL,NULL
"1404","RAI 19 (aka Rencontre 19) "," Le Palais et la royaute (Paris 1971)   ",NULL,NULL
"1405","RAI 20 (aka Rencontre 20) "," Le Temple et le culte (Leiden 1972)   ",NULL,NULL
"1406","RAI 21 (aka Rencontre 21) "," OrNS 45 (Rome 1974)   ",NULL,NULL
"1407","RAI 23 (aka Rencontre 23) "," Iraq 39 (Birmingham 1976)   ",NULL,NULL
"1408","RAI 25 (aka Rencontre 25) "," Mesopotamien und seine Nachbarn (Berlin 1978)   ",NULL,NULL
"1409","RAI 26 (aka Rencontre 26) "," Mesopotamia 8 (Copenhagen 1979)   ",NULL,NULL
"1410","RAI 28 (aka Rencontre 28) "," AfO Beiheft 19 (Vienna 1981)   ",NULL,NULL
"1411","RAI 29 (aka Rencontre 29) "," Iraq 45/1 (London 1982)   ",NULL,NULL
"1412","RAI 30 (aka Rencontre 30) "," Cuneiform Archives and Libraries (Leiden 1986)   ",NULL,NULL
"1413","RAI 32 (aka Rencontre 32) "," Keilschriftliche Literaturen (Berlin 1986)   ",NULL,NULL
"1414","RAI 33 (aka Rencontre 33) "," La Femme dans le proche-orient Antique (Paris 1987)   ",NULL,NULL
"1415","RAI 35 (aka Rencontre 35) "," Nippur at the Centennial (Philadelphia 1988)   ",NULL,NULL
"1416","RAI 36 (aka Rencontre 36) "," Mesopotamie et Elam (Ghent 1989)   ",NULL,NULL
"1417","RAI 38 (aka Rencontre 38) "," La circulation des biens, des personnes et des idees dans le Proche-Orient ancien (Paris 1991)   ",NULL,NULL
"1418","RAI 39 (aka Rencontre 39) "," Assyrien im Wandel der Zeiten. XXXIXe Rencontre Assyriologique Internationale, Heidelberg, 6.-10. Juli 1992 - Heidelberger Studien zum Alten Orient, 6, H. Waetzoldt, H. Hauptmann (eds.), (Heidelberger 1997)   ",NULL,NULL
"1419","RAI 40 (aka Rencontre 40) "," Houses and Households in Ancient Mesopotamia (Leiden 1993)   ",NULL,NULL
"1420","Raven and Goose "," lit. comp.; ms. Univ. Museum   ",NULL,NULL
"1421","RB "," Revue biblique (Paris 1892 ff.)   ",NULL,NULL
"1422","RBC "," tablets in the Rosen Babylonian Collection (Yale Univ.)   ",NULL,NULL
"1423","RCU "," P. Michalowski, The Royal Correspondence of Ur (diss., Yale Univ.)   ",NULL,NULL
"1424","RE "," Paulys Realencyklopädie der classischen Altertumswissenschaft (Stuttgart 1893 ff.2); Suppl. = Supplement (1903 ff.)   ",NULL,NULL
"1425","Reading the Past "," Reading the past (British Museum, London 1990) includes, ""Cuneiform"", C. B. F. Walker pp.15-73. This chapter is also available as a separate publication.   ",NULL,NULL
"1426","REC "," F. Thureau-Dangin, Recheres sur l'origine de l'Écriture Cunéiforme (Paris 1898); Supplément (1899)   ",NULL,NULL
"1427","Rec. "," recension   ",NULL,NULL
"1428","recon. "," reconstructs, reconstructed   ",NULL,NULL
"1429","ref(s). "," reference(s), referring   ",NULL,NULL
"1430","RenAcLinc "," Pettinato, G. 1977   ",NULL,NULL
"1431","RES "," Revue des études sémitiques (Paris 1934-1939)   ",NULL,NULL
"1432","ResOr "," Res Orientales (Paris 1989 ff.)   ",NULL,NULL
"1433","resp. "," respectively   ",NULL,NULL
"1434","rest. "," restored, restores   ",NULL,NULL
"1435","rev. "," reverse; revised   ",NULL,NULL
"1436","RevArch "," Revue archéologique (Paris 1844 ff.)   ",NULL,NULL
"1437","RGTC (aka Rép. géogr.) "," Répertoire géographique des textes cunéiformes (= TAVO Beihefte Reihe B Nr.7 1974 ff.)   ",NULL,NULL
"1438","RHA "," Revue hittite et asianique (Paris 1930 ff.)   ",NULL,NULL
"1439","RHR "," Revue de I'histoire des religions (Paris 1880 ff.)   ",NULL,NULL
"1440","RIA "," Reallexikon der Assyriologie (und Vorderasiatischen Archäologie) (Berlin 1928 ff.)   ",NULL,NULL
"1441","RIAA (aka Speleers Recueil, Recueil, RIIAA) "," L. Speleers, Recueil des inscriptions de l'Asie antérieure des Musées royaux du Cinquantenaire à; Bruxelles (Brussels 1925)   ",NULL,NULL
"1442","RICCA "," Veysel Donbaz & A. Kirk Grayson, Royal Inscriptions on Clay Cones from Ashur now in Istanbul, The Royal Inscriptions of Mesopotamia vol. 1 (RIMS 1), 1984, Toronto   ",NULL,NULL
